,number of tracts,mean length(mm),span(mm),curl,elongation,diameter(mm),volume(mm^3),trunk volume(mm^3),branch volume(mm^3),total surface area(mm^2),total radius of end regions(mm),total area of end regions(mm^2),irregularity,area of end region 1(mm^2),radius of end region 1(mm),irregularity of end region 1,area of end region 2(mm^2),radius of end region 2(mm),irregularity of end region 2,qa,nqa,jdet,dti_fa,md,ad,rd,gfa,iso,rdi,nrdi02L,nrdi04L,nrdi06L,odf,laterality,r1_voxel counts,r1_volume (mm^3),r1_center x,r1_center y,r1_center z,r1_qa,r1_nqa,r1_jdet,r1_dti_fa,r1_md,r1_ad,r1_rd,r1_gfa,r1_iso,r1_rdi,r1_nrdi02L,r1_nrdi04L,r1_nrdi06L,r1_odf,r2_voxel counts,r2_volume (mm^3),r2_center x,r2_center y,r2_center z,r2_qa,r2_nqa,r2_jdet,r2_dti_fa,r2_md,r2_ad,r2_rd,r2_gfa,r2_iso,r2_rdi,r2_nrdi02L,r2_nrdi04L,r2_nrdi06L,r2_odf
39-40.sub-CC00590XX14.ses-187000.R70,13.0,86.4848,36.121,2.39431,58.0051,1.49099,151.0,37.875,113.125,1946.0,15.5647,5.75,4.80374,2.5,8.7877,97.0421,3.25,6.77704,44.3963,0.0915947,0.11454,0.781483,0.113525,1.31434,1.44955,1.24673,0.045961,0.482842,0.236428,0.37167,0.183849,0.0669498,0,Left,10.0,5.0,213.0,149.3,86.8,0.0124086,0.015517,0.853652,0.0119716,1.08628,1.10063,1.0791,0.0626431,0.0764097,0.0321101,0.0622882,0.0352693,0.0162169,0,13.0,6.5,198.0,78.8462,81.0769,0.0136082,0.0170172,0.861269,0.0119296,1.33042,1.34751,1.32187,0.0184773,0.186999,0.0751673,0.145978,0.0824392,0.0373746,0
39-40.sub-CC00592XX16.ses-188800.R73,3.0,101.246,24.1983,4.18404,94.5793,1.07049,91.125,0.0,91.125,1798.25,29.379,1.5,5.28125,0.75,12.6851,674.026,0.75,16.6939,1167.36,0.0995726,0.119204,0.876803,0.131214,1.22138,1.3819,1.14112,0.049269,0.478032,0.24303,0.360875,0.172197,0.0600527,0,Left,3.0,1.5,211.667,123.667,60.3333,0.0130799,0.0156587,0.810692,0.0109344,0.814967,0.826634,0.809133,0.0861806,0.0548979,0.0251302,0.044118,0.0238276,0.0105406,0,3.0,1.5,202.333,81.3333,75.3333,0.00904594,0.0108294,0.611609,0.0112042,0.523613,0.538868,0.515985,0.0364789,0.0457164,0.0202476,0.0366641,0.0201152,0.00900824,0
39-40.sub-CC00597XX21.ses-190200.R72,35.0,96.2628,31.1063,3.09464,36.7807,2.61721,517.875,90.875,427.0,6114.0,27.7888,13.75,7.72465,5.0,18.0791,205.369,8.75,9.70963,33.8491,0.110158,0.149682,0.764257,0.159802,1.23857,1.43291,1.1414,0.054311,0.448729,0.230855,0.342772,0.163334,0.0565237,0,Left,20.0,10.0,210.3,146.45,71.05,0.00943774,0.0128239,0.825236,0.0133564,0.885277,0.897553,0.87914,0.0460614,0.0572659,0.0257192,0.0451512,0.0240753,0.0100253,0,35.0,17.5,204.257,94.6286,82.6286,0.0107216,0.0145685,0.786748,0.0119003,1.15366,1.16898,1.146,0.023088,0.108906,0.0442061,0.0863286,0.0489584,0.022426,0
39-40.sub-CC00616XX14.ses-184700.R72,4.0,104.836,21.8816,4.79106,88.7559,1.18117,114.875,35.875,79.0,1663.0,7.57118,2.0,4.27484,1.0,2.54153,20.2927,1.0,5.02964,79.4739,0.106849,0.114954,0.749132,0.146243,1.20484,1.3665,1.12401,0.0502392,0.485267,0.25034,0.36834,0.174261,0.0594802,0,Left,4.0,2.0,215.0,134.5,80.5,0.0102283,0.0110042,0.449823,0.0094524,0.650694,0.661753,0.645164,0.0361347,0.0410806,0.0202308,0.0326447,0.0168003,0.00706369,0,4.0,2.0,206.5,92.0,74.5,0.00831014,0.00894052,0.623329,0.0103945,0.959387,0.970032,0.954065,0.0163548,0.096612,0.0384238,0.0767045,0.0442457,0.0210735,0
39-40.sub-CC00649XX23.ses-191201.R69,10.0,106.77,33.2837,3.20788,71.6187,1.49082,186.375,30.75,155.625,2288.5,17.7804,4.75,4.57643,2.5,3.67667,16.9871,2.25,14.1037,277.737,0.0834544,0.105725,0.849197,0.0813385,1.33055,1.42625,1.28271,0.0416503,0.46403,0.2217,0.360716,0.182364,0.0685097,0,Left,10.0,5.0,207.4,122.5,41.4,0.00921562,0.0116749,0.879882,0.0201324,0.378499,0.390962,0.372268,0.0727822,0.0556985,0.0349904,0.0542371,0.0263876,0.00909916,0,9.0,4.5,202.889,86.2222,94.6667,0.0101653,0.012878,0.69579,0.0154245,0.544744,0.557569,0.538331,0.0714782,0.0626101,0.0311209,0.0465203,0.0224056,0.00808998,0
39-40.sub-CC00653XX10.ses-191801.R71,67.0,137.66,22.7088,6.06196,58.9981,2.3333,588.625,37.625,551.0,5884.25,17.5128,16.75,5.83126,12.75,5.79992,8.28863,4.0,11.7129,107.75,0.116881,0.142398,0.739022,0.158353,1.25804,1.45423,1.15994,0.0555982,0.50428,0.257993,0.385825,0.184568,0.0639608,0,Left,51.0,25.5,204.902,95.5294,71.9216,0.0110147,0.0134194,0.930669,0.0118418,1.35679,1.37338,1.3485,0.0174773,0.164101,0.0634215,0.130254,0.0755612,0.0353947,0,16.0,8.0,205.0,119.562,39.8125,0.00895874,0.0109146,0.877572,0.0208748,0.375503,0.383711,0.371399,0.0825601,0.0456313,0.0206473,0.0372541,0.0199567,0.00806485,0
40-41.sub-CC00060XX03.ses-12501.R74,3.0,93.0692,34.9822,2.66047,100.549,0.925606,62.625,28.625,34.0,963.0,3.44825,1.25,3.55832,0.5,0.53033,1.76715,0.75,2.91792,35.6644,0.0966794,0.117773,0.868175,0.104985,1.30686,1.43198,1.2443,0.0519991,0.484164,0.236886,0.377417,0.188117,0.0689896,0,Left,2.0,1.0,211.0,157.5,69.5,0.013618,0.0165892,0.866087,0.011013,0.653914,0.664767,0.648488,0.354543,0.0280673,0.0131,0.0268114,0.0154992,0.00718708,0,3.0,1.5,202.667,88.3333,66.0,0.00819561,0.00998373,0.898768,0.00703666,1.11443,1.12131,1.111,0.0369194,0.0742582,0.0284814,0.0612205,0.0366092,0.0182837,0
40-41.sub-CC00068XX11.ses-20701.R77,17.0,92.794,37.8395,2.45231,44.1809,2.10032,321.5,79.125,242.375,4113.0,25.7705,7.75,6.71743,4.0,15.5774,190.582,3.75,10.1931,87.042,0.13191,0.143848,0.820204,0.149541,1.21182,1.38343,1.12601,0.0593195,0.495002,0.252713,0.385971,0.187088,0.0658079,0,Left,16.0,8.0,209.875,148.125,76.4375,0.0117585,0.0128226,0.966233,0.0108238,0.980352,0.991595,0.974731,0.0423307,0.0884745,0.036503,0.0715659,0.0406959,0.0187508,0,15.0,7.5,199.533,74.0667,79.2,0.00949327,0.0103524,0.61095,0.0088293,0.653508,0.661369,0.649578,0.0287707,0.0637081,0.0268628,0.0518093,0.029309,0.0135402,0
40-41.sub-CC00071XX06.ses-27000.R77,1.0,100.051,19.2919,5.18619,154.099,0.649264,33.125,33.125,0.0,640.25,0.0,0.5,3.1373,0.25,0.0,0.0,0.25,0.0,0.0,0.101072,0.132182,0.760335,0.13388,1.20134,1.35401,1.12499,0.0451474,0.534114,0.267083,0.40386,0.194127,0.0669732,0,Left,1.0,0.5,211.0,129.0,82.0,0.0183256,0.0239662,0.919495,0.0170103,1.43964,1.46316,1.42789,0.016794,0.252708,0.104346,0.194299,0.106993,0.0464085,0,1.0,0.5,206.0,91.0,84.0,0.0115591,0.015117,0.840358,0.0118269,1.31805,1.33086,1.31165,0.0357256,0.0852765,0.0335283,0.070964,0.0419176,0.0203361,0
40-41.sub-CC00072XX07.ses-27600.R71,3.0,96.4222,32.0509,3.00841,105.092,0.917501,63.75,26.375,37.375,1055.5,6.41363,1.5,3.79774,0.75,0.490528,1.0079,0.75,5.9231,146.956,0.108479,0.137436,0.678273,0.0968063,1.25852,1.37471,1.20043,0.0480922,0.507725,0.245319,0.396536,0.199279,0.0736991,0,Left,3.0,1.5,211.333,155.667,69.0,0.0127049,0.0160964,0.664498,0.0131747,0.376284,0.385889,0.371481,0.0577495,0.0656018,0.0330261,0.0498271,0.023964,0.00834622,0,3.0,1.5,206.333,93.3333,82.6667,0.011762,0.0149018,0.677646,0.0171709,0.443325,0.453716,0.438129,0.177228,0.0727507,0.0334526,0.0563872,0.0292272,0.0115256,0
