,number of tracts,mean length(mm),span(mm),curl,elongation,diameter(mm),volume(mm^3),trunk volume(mm^3),branch volume(mm^3),total surface area(mm^2),total radius of end regions(mm),total area of end regions(mm^2),irregularity,area of end region 1(mm^2),radius of end region 1(mm),irregularity of end region 1,area of end region 2(mm^2),radius of end region 2(mm),irregularity of end region 2,qa,nqa,jdet,dti_fa,md,ad,rd,gfa,iso,rdi,nrdi02L,nrdi04L,nrdi06L,odf,laterality,r1_voxel counts,r1_volume (mm^3),r1_center x,r1_center y,r1_center z,r1_qa,r1_nqa,r1_jdet,r1_dti_fa,r1_md,r1_ad,r1_rd,r1_gfa,r1_iso,r1_rdi,r1_nrdi02L,r1_nrdi04L,r1_nrdi06L,r1_odf,r2_voxel counts,r2_volume (mm^3),r2_center x,r2_center y,r2_center z,r2_qa,r2_nqa,r2_jdet,r2_dti_fa,r2_md,r2_ad,r2_rd,r2_gfa,r2_iso,r2_rdi,r2_nrdi02L,r2_nrdi04L,r2_nrdi06L,r2_odf
41-42.sub-CC00719XX18.ses-210600.R73,10.0,73.8503,36.0461,2.04877,44.2062,1.67059,161.875,36.625,125.25,2610.0,26.8699,4.25,6.73395,1.75,17.466,547.647,2.5,9.40388,111.128,0.0842812,0.0991482,0.845574,0.107011,1.28017,1.41003,1.21525,0.0429425,0.459624,0.226401,0.349097,0.17078,0.0616167,0.438464,Right,7.0,3.5,81.0,87.4286,147.0,0.00942338,0.0110856,1.04352,0.00958143,0.811421,0.819341,0.807461,0.070882,0.0597629,0.0236434,0.0507061,0.0302713,0.015065,0.60462,10.0,5.0,32.6,90.1,94.2,0.012057,0.0141838,0.694634,0.0121127,0.899063,0.912114,0.892537,0.0394882,0.06654,0.0299587,0.0536164,0.0291281,0.0127688,0.426857
41-42.sub-CC00734XX17.ses-216900.R74,24.0,62.582,37.6522,1.66211,25.2056,2.48286,303.0,16.75,286.25,4228.5,24.3193,11.5,8.66235,5.5,14.0559,112.851,6.0,10.2634,55.1549,0.100801,0.15413,0.73388,0.105731,1.16783,1.28907,1.10721,0.0437134,0.569603,0.287281,0.429641,0.20571,0.0716454,0.438464,Right,22.0,11.0,85.2727,109.409,159.182,0.0140017,0.0214093,0.671208,0.0186238,0.461255,0.477829,0.452968,0.0704337,0.0299541,0.0211774,0.0243506,0.0103204,0.00461426,0.60462,24.0,12.0,35.5,94.125,107.667,0.0117599,0.0179815,0.634459,0.0168585,0.556716,0.568848,0.550651,0.0613644,0.0538166,0.0265888,0.0421874,0.0217552,0.0095673,0.426857
41-42.sub-CC00744XX19.ses-221001.R76,61.0,68.4101,32.0496,2.13451,22.9357,2.98269,478.0,38.625,439.375,4882.25,17.9821,19.5,7.61624,12.75,11.7073,33.7716,6.75,6.27483,18.3252,0.109085,0.136035,0.927809,0.12454,1.29068,1.44405,1.214,0.0521596,0.473564,0.235349,0.369411,0.182531,0.0663399,0.438464,Right,51.0,25.5,82.6863,106.549,154.941,0.0109841,0.0136977,1.11278,0.0106037,1.12801,1.13907,1.12248,0.0561565,0.108268,0.042332,0.0879255,0.0515119,0.0247597,0.60462,27.0,13.5,45.1481,85.2222,110.852,0.0126357,0.0157574,0.939393,0.00974551,1.50291,1.51676,1.49599,0.0128681,0.241676,0.0941352,0.189699,0.109058,0.0505225,0.426857
41-42.sub-CC00824XX16.ses-38310.R76,91.0,73.5511,35.1715,2.09121,20.8317,3.53073,720.125,300.875,419.25,6553.75,16.2925,24.25,8.03316,14.5,5.15741,5.76295,9.75,11.1351,39.9516,0.0987395,0.141397,0.746121,0.12315,1.25834,1.40552,1.18475,0.0511116,0.468853,0.234305,0.360939,0.17609,0.0627157,0.438464,Right,58.0,29.0,75.9483,96.2069,150.414,0.00945616,0.0135415,0.89276,0.0145153,0.612046,0.621419,0.607359,0.13333,0.0310409,0.0139791,0.0280204,0.0161024,0.00751268,0.60462,39.0,19.5,37.3333,84.0256,97.8718,0.0102422,0.0146671,0.691482,0.0100739,0.916706,0.928518,0.9108,0.0223934,0.098317,0.0406192,0.0775789,0.0435996,0.0198684,0.426857
41-42.sub-CC00871XX14.ses-38810.R75,215.0,69.5428,44.8424,1.55083,14.9824,4.64164,1176.75,16.5,1160.25,9541.25,24.6326,51.5,9.40875,26.0,10.4559,13.2099,25.5,14.1767,24.7605,0.11844,0.151058,0.893556,0.185276,1.18055,1.40169,1.06998,0.0570046,0.453922,0.236596,0.346549,0.163337,0.0552801,0.438464,Right,104.0,52.0,83.3365,115.298,157.115,0.0116543,0.0148639,1.20532,0.0135966,1.27032,1.28664,1.26216,0.0272397,0.127037,0.0516597,0.100194,0.0567257,0.0260585,0.60462,102.0,51.0,35.8431,90.8137,92.4118,0.0126909,0.0161859,0.805468,0.0205726,0.897037,0.91548,0.887816,0.050495,0.105855,0.0472767,0.0826514,0.0441046,0.0185846,0.426857
42-43.sub-CC00083XX10.ses-30900.R71,151.0,53.0355,27.0255,1.96243,15.8521,3.34565,466.25,193.875,272.375,3806.75,19.9825,23.25,6.82899,17.75,14.715,38.3243,5.5,5.26744,15.8484,0.0662693,0.0903276,0.821226,0.0730197,1.29631,1.38478,1.25208,0.0367568,0.438786,0.16396,0.266362,0.134156,0.0496024,0.438464,Right,71.0,35.5,76.169,83.2253,139.789,0.0119527,0.016292,0.939936,0.0157434,1.2878,1.3074,1.27799,0.020538,0.174183,0.0586267,0.107827,0.0588485,0.0250346,0.60462,22.0,11.0,46.5455,63.8182,94.4091,0.010912,0.0148734,0.914927,0.00995889,1.31488,1.32733,1.30865,0.0158603,0.183493,0.0599183,0.114692,0.0638105,0.02769,0.426857
42-43.sub-CC00097XX16.ses-33701.R79,299.0,64.5117,36.8256,1.75181,13.2346,4.87446,1203.88,200.75,1003.12,9800.75,22.2526,66.5,9.92075,45.75,15.6816,16.8865,20.75,6.57102,6.53729,0.105336,0.163971,0.744471,0.196942,1.13763,1.36436,1.02427,0.0515554,0.469559,0.194954,0.279273,0.129292,0.0422144,0.438464,Right,183.0,91.5,78.5137,86.1257,144.869,0.0108969,0.0169625,0.84878,0.0158832,1.03215,1.04884,1.0238,0.0478914,0.0836666,0.0299963,0.0524585,0.0280581,0.0119121,0.60462,83.0,41.5,37.759,72.6145,90.747,0.0106479,0.016575,0.717362,0.0142301,1.03537,1.05288,1.02661,0.0443369,0.0692839,0.0258688,0.0432805,0.0225586,0.00927155,0.426857
42-43.sub-CC00108XX09.ses-36800.R72,213.0,58.5559,38.837,1.50773,12.0534,4.85803,1085.38,296.0,789.375,9935.5,23.4072,58.0,11.1176,31.25,16.132,26.1624,26.75,7.27522,6.2161,0.0852013,0.104123,0.77523,0.0952445,1.29283,1.40876,1.23486,0.0405437,0.493597,0.187854,0.300411,0.149892,0.054779,0.438464,Right,125.0,62.5,91.64,89.392,149.32,0.0278454,0.0340296,0.650062,0.0319498,0.82741,0.87285,0.804689,0.0178117,0.244067,0.0934331,0.142107,0.0691996,0.0252458,0.60462,107.0,53.5,38.7383,85.2243,96.8131,0.0105463,0.0128886,0.891673,0.010902,1.41457,1.42884,1.40744,0.0124314,0.221905,0.0715476,0.13916,0.0784901,0.0352339,0.426857
42-43.sub-CC00117XX10.ses-38200.R76,382.0,65.8552,36.7083,1.79402,12.2131,5.3922,1503.88,403.5,1100.38,10231.8,20.8447,94.5,9.17158,44.5,11.2667,8.96159,50.0,9.57801,5.76409,0.097051,0.123896,0.713336,0.139414,1.24277,1.40358,1.16236,0.0452749,0.50892,0.201575,0.30675,0.148177,0.051639,0.438464,Right,178.0,89.0,83.8933,97.4101,151.539,0.0115691,0.0147691,0.959926,0.0144158,1.29794,1.31449,1.28966,0.0326083,0.152982,0.0504676,0.0969411,0.0543357,0.0242084,0.60462,200.0,100.0,35.72,89.27,97.825,0.0108815,0.0138913,0.812326,0.0148602,1.15318,1.16992,1.14481,0.0345108,0.11709,0.0395248,0.0739321,0.0408902,0.0179343,0.426857
42-43.sub-CC00180XX08.ses-59500.R73,215.0,63.8642,33.1231,1.92809,14.6276,4.366,956.125,0.0,956.125,7707.5,25.9889,41.75,8.79878,17.25,16.2993,48.3839,24.5,9.68955,12.039,0.0824959,0.115866,0.842716,0.113102,1.23629,1.36934,1.16976,0.0440725,0.465147,0.180777,0.280985,0.137516,0.0486614,0.438464,Right,69.0,34.5,84.2899,89.7246,148.261,0.0110813,0.0155637,1.09483,0.0244376,0.767732,0.78597,0.758612,0.118161,0.057986,0.0226252,0.0360721,0.0181498,0.00698134,0.60462,98.0,49.0,38.0102,83.6327,101.082,0.0106775,0.0149967,0.938432,0.0192212,0.701336,0.717414,0.693297,0.101582,0.0604236,0.02351,0.0376151,0.0188616,0.00707003,0.426857
