,number of tracts,mean length(mm),span(mm),curl,elongation,diameter(mm),volume(mm^3),trunk volume(mm^3),branch volume(mm^3),total surface area(mm^2),total radius of end regions(mm),total area of end regions(mm^2),irregularity,area of end region 1(mm^2),radius of end region 1(mm),irregularity of end region 1,area of end region 2(mm^2),radius of end region 2(mm),irregularity of end region 2,qa,nqa,jdet,dti_fa,md,ad,rd,gfa,iso,rdi,nrdi02L,nrdi04L,nrdi06L,odf,laterality,r1_voxel counts,r1_volume (mm^3),r1_center x,r1_center y,r1_center z,r1_qa,r1_nqa,r1_jdet,r1_dti_fa,r1_md,r1_ad,r1_rd,r1_gfa,r1_iso,r1_rdi,r1_nrdi02L,r1_nrdi04L,r1_nrdi06L,r1_odf,r2_voxel counts,r2_volume (mm^3),r2_center x,r2_center y,r2_center z,r2_qa,r2_nqa,r2_jdet,r2_dti_fa,r2_md,r2_ad,r2_rd,r2_gfa,r2_iso,r2_rdi,r2_nrdi02L,r2_nrdi04L,r2_nrdi06L,r2_odf
39-40.sub-CC00453XX08.ses-136600.R74,4.0,89.4419,64.1273,1.39475,80.7192,1.10806,86.25,55.0,31.25,1264.75,2.20698,2.0,4.06209,1.0,1.02083,3.27386,1.0,1.18615,4.42007,0.109922,0.143305,0.751111,0.152789,1.22295,1.40346,1.1327,0.0509957,0.496002,0.253595,0.374726,0.177738,0.0607878,0,Right,4.0,2.0,64.75,171.0,144.75,0.0106781,0.0139209,0.923111,0.0107037,1.31375,1.32656,1.30735,0.0350572,0.0759557,0.0302923,0.0637802,0.0375325,0.0180821,0,4.0,2.0,46.75,81.0,55.25,0.011639,0.0151737,0.960413,0.0110492,1.43473,1.44858,1.42781,0.0194112,0.150205,0.0559701,0.122769,0.0737232,0.0365076,0
39-40.sub-CC00585XX17.ses-178900.R71,3.0,89.5627,74.5361,1.2016,87.4691,1.02394,73.75,34.0,39.75,1346.75,14.4895,1.5,4.67452,0.75,2.67316,29.9321,0.75,11.8163,584.863,0.0800455,0.122094,0.939274,0.0956432,1.34208,1.46099,1.28262,0.0395,0.469917,0.227423,0.358873,0.178108,0.0653944,0,Right,3.0,1.5,95.0,205.333,140.0,0.0114594,0.017479,1.1615,0.0100904,1.52449,1.53879,1.51734,0.0170921,0.16759,0.062604,0.134888,0.0803191,0.0393335,0,3.0,1.5,56.3333,92.6667,50.6667,0.00919717,0.0140285,0.838322,0.0062906,1.62987,1.63876,1.62542,0.0217608,0.117736,0.0430439,0.0971592,0.0597202,0.0313654,0
39-40.sub-CC00649XX23.ses-191201.R69,1.0,96.5435,80.9513,1.19261,152.85,0.631621,30.25,30.25,0.0,620.5,0.0,0.5,3.23901,0.25,0.0,0.0,0.25,0.0,0.0,0.102249,0.129535,0.759066,0.11398,1.27152,1.41337,1.2006,0.0451071,0.515239,0.25417,0.395847,0.194355,0.0696324,0,Right,1.0,0.5,83.0,194.0,147.0,0.0149099,0.0188887,0.953824,0.0174439,0.553122,0.567765,0.5458,0.0995415,0.0792659,0.039263,0.0608447,0.0298082,0.0106901,0,1.0,0.5,43.0,74.0,45.0,0.00479645,0.00607642,0.20761,0.00422655,0.266311,0.270525,0.264203,0.0139564,0.0176033,0.00828496,0.0142978,0.0075564,0.00311518,0
40-41.sub-CC00106XX07.ses-36100.R71,2.0,94.5711,72.9505,1.29637,121.5,0.778363,45.0,32.25,12.75,889.25,7.91952,0.75,3.84533,0.25,0.0,0.0,0.5,7.91952,394.073,0.0955461,0.114469,0.80922,0.110414,1.29335,1.42676,1.22664,0.0443042,0.50591,0.250321,0.386621,0.189203,0.0680751,0,Right,1.0,0.5,83.0,196.0,147.0,0.00589711,0.00706502,0.97796,0.00673132,0.401722,0.407263,0.398952,0.0574343,0.0325817,0.0135553,0.0269023,0.0152842,0.00687356,0,2.0,1.0,49.0,87.5,55.5,0.0116034,0.0139014,0.950424,0.0105109,1.47771,1.49099,1.47107,0.0185125,0.156172,0.0591271,0.126608,0.0759663,0.0386547,0
40-41.sub-CC00120XX05.ses-41600.R70,4.0,87.5577,78.1307,1.12066,77.3458,1.13203,88.125,44.0,44.125,1121.25,1.69992,2.0,3.60081,1.0,1.16959,4.2975,1.0,0.53033,0.883573,0.0921303,0.16785,1.03293,0.141743,1.25212,1.41763,1.16937,0.0507249,0.398741,0.200047,0.30614,0.148788,0.0528176,0,Right,4.0,2.0,87.0,208.75,137.5,0.00833368,0.0151829,0.939506,0.0141662,0.513762,0.5223,0.509493,0.0520262,0.0503131,0.0241986,0.0384912,0.0191832,0.00705962,0,4.0,2.0,48.5,81.0,56.5,0.0124646,0.022709,1.1283,0.0117151,1.40204,1.4178,1.39417,0.0208736,0.131084,0.0501619,0.107113,0.0636614,0.0312679,0
40-41.sub-CC00247XX17.ses-82801.R72,2.0,101.06,70.2675,1.43821,114.0,0.886485,62.375,0.0,62.375,1267.75,12.3072,1.0,4.50438,0.5,5.97652,224.428,0.5,6.33073,251.818,0.100681,0.131532,0.901458,0.109356,1.24653,1.37714,1.18123,0.0433145,0.522413,0.257791,0.400242,0.196189,0.0702291,0,Right,2.0,1.0,69.5,188.0,143.5,0.0108608,0.0141889,0.985285,0.0116042,0.289292,0.297504,0.285186,0.182383,0.0438565,0.022346,0.0346488,0.0170768,0.00631317,0,2.0,1.0,48.0,84.0,51.5,0.00939181,0.0122697,0.818131,0.008865,1.09388,1.10247,1.08959,0.0307693,0.090443,0.0331639,0.0763812,0.0472715,0.0249124,0
40-41.sub-CC00377XX15.ses-119800.R71,1.0,87.0542,74.2055,1.17315,136.646,0.637077,27.75,27.75,0.0,563.0,0.0,0.5,3.2313,0.25,0.0,0.0,0.25,0.0,0.0,0.0442714,0.124446,0.884426,0.108911,1.29484,1.42534,1.2296,0.0475695,0.220748,0.108628,0.170354,0.0841169,0.0305244,0,Right,1.0,0.5,77.0,206.0,131.0,0.00995698,0.0279889,1.03433,0.0248649,1.11796,1.1438,1.10504,0.053156,0.0676497,0.030161,0.0530738,0.028285,0.0116868,0,1.0,0.5,60.0,82.0,50.0,0.00922329,0.0259265,0.952342,0.0176685,1.57808,1.60757,1.56333,0.026245,0.085539,0.0321828,0.0707426,0.0428447,0.0218918,0
40-41.sub-CC00486XX17.ses-144300.R74,1.0,106.022,70.7066,1.49946,169.706,0.624739,32.5,32.5,0.0,676.75,0.0,0.5,3.25225,0.25,0.0,0.0,0.25,0.0,0.0,0.103635,0.128814,0.811646,0.130599,1.25507,1.40252,1.18134,0.047105,0.478871,0.243285,0.364946,0.175355,0.0617863,0,Right,1.0,0.5,92.0,158.0,162.0,0.0123505,0.0153511,1.1081,0.00796534,1.40108,1.41027,1.39648,0.00878507,0.317812,0.131399,0.240157,0.130568,0.0551742,0,1.0,0.5,43.0,84.0,52.0,0.0112197,0.0139456,1.14102,0.0102828,1.50262,1.51739,1.49524,0.0129089,0.226345,0.0854293,0.179256,0.104959,0.0495884,0
40-41.sub-CC00669XX18.ses-214300.R74,11.0,99.1063,80.4796,1.23145,63.4129,1.56287,190.125,31.125,159.0,2285.5,11.4449,3.75,4.69684,2.5,4.96962,31.0354,1.25,6.47523,105.378,0.147968,0.196833,0.940248,0.231634,1.12632,1.38933,0.994808,0.0622386,0.527349,0.286593,0.393878,0.177306,0.0562414,0,Right,10.0,5.0,80.0,175.2,156.0,0.0115688,0.0153893,1.03255,0.0188954,0.567573,0.579325,0.561698,0.12911,0.0622117,0.0294785,0.0493685,0.0254085,0.00983321,0,5.0,2.5,52.6,73.2,35.4,0.0121002,0.0160962,0.743543,0.018151,0.661079,0.682642,0.650298,0.0339571,0.0467043,0.025245,0.0344694,0.0158587,0.00587141,0
40-41.sub-CC00787XX21.ses-19010.R72,7.0,98.2811,78.0198,1.25969,79.871,1.2305,116.875,94.875,22.0,1461.75,5.25187,3.0,3.84744,1.5,0.975342,1.99238,1.5,4.27653,38.3038,0.0844298,0.140339,1.11462,0.101318,1.30932,1.43331,1.24732,0.0464925,0.412837,0.203849,0.317935,0.156531,0.0567091,0,Right,6.0,3.0,86.6667,211.5,130.833,0.0120502,0.0200299,1.4178,0.0122548,1.45292,1.46928,1.44474,0.0290451,0.112106,0.0440624,0.0901464,0.0526214,0.0254557,0,6.0,3.0,55.5,82.8333,49.1667,0.0132124,0.0219617,1.10651,0.0130392,1.5442,1.56371,1.53444,0.0335957,0.134358,0.0550011,0.106657,0.0610756,0.0294949,0
