,number of tracts,mean length(mm),span(mm),curl,elongation,diameter(mm),volume(mm^3),trunk volume(mm^3),branch volume(mm^3),total surface area(mm^2),total radius of end regions(mm),total area of end regions(mm^2),irregularity,area of end region 1(mm^2),radius of end region 1(mm),irregularity of end region 1,area of end region 2(mm^2),radius of end region 2(mm),irregularity of end region 2,qa,nqa,jdet,dti_fa,md,ad,rd,gfa,iso,rdi,nrdi02L,nrdi04L,nrdi06L,odf,laterality,r1_voxel counts,r1_volume (mm^3),r1_center x,r1_center y,r1_center z,r1_qa,r1_nqa,r1_jdet,r1_dti_fa,r1_md,r1_ad,r1_rd,r1_gfa,r1_iso,r1_rdi,r1_nrdi02L,r1_nrdi04L,r1_nrdi06L,r1_odf,r2_voxel counts,r2_volume (mm^3),r2_center x,r2_center y,r2_center z,r2_qa,r2_nqa,r2_jdet,r2_dti_fa,r2_md,r2_ad,r2_rd,r2_gfa,r2_iso,r2_rdi,r2_nrdi02L,r2_nrdi04L,r2_nrdi06L,r2_odf
40-41.sub-CC00501XX06.ses-146500.R71,44.0,42.5044,23.9278,1.77636,12.9142,3.2913,361.625,33.375,328.25,4788.5,31.7051,17.5,10.8955,9.25,10.4249,36.9108,8.25,21.2802,172.444,0.0524431,0.0654828,1.06844,0.0811983,0.938397,1.00553,0.904833,0.047506,0.312921,0.16339,0.228098,0.105121,0.0364766,0.525503,Left,37.0,18.5,147.486,76.1622,22.0811,0.0250037,0.0312207,0.521702,0.0405743,0.415829,0.448555,0.399466,0.0279406,0.103063,0.0631887,0.0687083,0.0255438,0.00742914,0.343948,33.0,16.5,145.273,39.6061,33.7273,0.0138448,0.0172873,0.829476,0.0306625,0.430787,0.447547,0.422407,0.0867441,0.0451863,0.0263382,0.0334114,0.0145772,0.00519916,0.433824
40-41.sub-CC00502XX07.ses-146700.R70,112.0,66.7026,30.3188,2.20004,14.6317,4.55877,1088.75,33.0,1055.75,11065.2,23.1705,37.5,11.583,19.25,11.042,19.8982,18.25,12.1285,25.3222,0.0733552,0.0950341,0.891787,0.0869825,1.17941,1.27537,1.13143,0.0451036,0.421984,0.211487,0.317106,0.153254,0.0558795,0.525503,Left,77.0,38.5,147.896,80.026,20.3636,0.0239961,0.0310879,0.506571,0.0408111,0.480455,0.518039,0.461663,0.0377124,0.0886639,0.0490592,0.0645282,0.029079,0.010892,0.343948,73.0,36.5,137.11,25.0411,35.0548,0.0148251,0.0192064,0.562569,0.0289532,0.352602,0.370662,0.343573,0.0542905,0.0481213,0.0282593,0.0352396,0.0150805,0.00521165,0.433824
40-41.sub-CC00504XX09.ses-146800.R69,100.0,64.9685,21.3168,3.04776,14.9657,4.34117,961.625,0.0,961.625,10817.0,30.5753,36.5,12.2081,19.5,14.2015,32.4927,17.0,16.3738,49.545,0.0804296,0.0863836,0.922612,0.108548,1.02949,1.13962,0.974422,0.0486932,0.409301,0.216961,0.297488,0.134822,0.0450429,0.525503,Left,78.0,39.0,155.833,72.4103,22.8462,0.0184408,0.0198059,0.443641,0.0696202,0.222951,0.249463,0.209695,0.0358823,0.0574794,0.0407198,0.0360283,0.0100983,0.00332836,0.343948,68.0,34.0,139.912,36.6912,34.3088,0.014978,0.0160867,0.745739,0.0382584,0.293865,0.314532,0.283532,0.133568,0.0335369,0.0262006,0.0237746,0.00699183,0.00164084,0.433824
40-41.sub-CC00507XX12.ses-148202.R70,163.0,58.9015,34.5405,1.70529,12.9099,4.56252,963.0,86.125,876.875,9521.75,32.2553,33.0,11.2781,14.75,11.8929,30.1255,18.25,20.3624,71.3749,0.0739002,0.0974497,0.828303,0.0741945,1.32079,1.41323,1.27457,0.0403105,0.450081,0.215429,0.344804,0.172647,0.0641615,0.525503,Left,59.0,29.5,166.847,79.4915,34.2542,0.0127284,0.0167845,0.771415,0.0124888,1.32686,1.34009,1.32025,0.0314701,0.094284,0.0379595,0.0771301,0.0454275,0.0230392,0.343948,73.0,36.5,140.247,32.9452,35.1507,0.0119569,0.0157671,0.645472,0.0173961,0.525947,0.539173,0.519334,0.0630556,0.0454805,0.0217579,0.0367993,0.0193838,0.00819735,0.433824
40-41.sub-CC00516XX13.ses-152902.R72,88.0,63.719,30.1144,2.11589,16.9347,3.76262,708.5,0.0,708.5,7875.75,31.2277,25.75,10.4564,13.75,15.6082,55.661,12.0,15.6195,63.8709,0.071417,0.0963221,1.01472,0.0911923,1.16781,1.27254,1.11545,0.0501687,0.395117,0.195751,0.299296,0.145697,0.052331,0.525503,Left,55.0,27.5,162.073,74.6909,30.6727,0.0134124,0.0180896,0.74172,0.01818,0.703515,0.721435,0.694555,0.105483,0.0467086,0.0265822,0.0388641,0.0187963,0.00754847,0.343948,48.0,24.0,140.792,27.375,39.8333,0.0095751,0.0129142,0.998499,0.0157857,0.497738,0.505041,0.494086,0.153278,0.0236738,0.0161363,0.0222552,0.0104136,0.00510111,0.433824
40-41.sub-CC00548XX21.ses-157400.R72,333.0,72.4549,22.2301,3.25932,11.7949,6.14292,2147.38,168.375,1979.0,16081.2,30.0187,89.5,11.5008,48.75,13.0007,10.8921,40.75,17.018,22.3273,0.0994356,0.123815,0.907471,0.107409,1.14929,1.27528,1.08629,0.0546631,0.467967,0.234677,0.356952,0.172843,0.0611473,0.525503,Left,195.0,97.5,159.041,71.9179,22.5128,0.0121602,0.0151416,0.737557,0.0263573,0.335335,0.350473,0.327766,0.0896453,0.0409105,0.0254412,0.0313829,0.013337,0.00511033,0.343948,163.0,81.5,141.485,38.2638,35.1166,0.0123042,0.0153209,0.834799,0.0243535,0.348662,0.359324,0.343331,0.143902,0.0257621,0.0164497,0.0211135,0.00919055,0.00321019,0.433824
40-41.sub-CC00550XX06.ses-157800.R74,482.0,69.7358,25.9874,2.68344,12.0054,5.80869,1848.0,314.5,1533.5,14160.5,29.3906,91.75,11.1274,61.0,12.4187,7.94284,30.75,16.9719,29.4282,0.0986139,0.109177,0.902679,0.0923736,1.23939,1.35526,1.18145,0.0465774,0.502384,0.248412,0.381416,0.186495,0.0678538,0.525503,Left,244.0,122.0,165.582,70.7213,24.6967,0.0176846,0.0195789,0.476195,0.024165,0.563903,0.585347,0.553181,0.020421,0.0986311,0.0490928,0.0736387,0.036639,0.0156728,0.343948,123.0,61.5,143.797,37.1545,31.3333,0.0136979,0.0151651,0.680244,0.0235361,0.371224,0.386781,0.363446,0.112414,0.037366,0.023172,0.028483,0.0121423,0.00435048,0.433824
40-41.sub-CC00555XX11.ses-162400.R68,164.0,48.5593,20.588,2.35862,9.21033,5.27227,1060.12,37.75,1022.38,10730.5,33.1691,41.5,13.3414,26.5,15.1509,27.2131,15.0,18.0183,67.9963,0.0698929,0.0891686,0.95774,0.0815952,1.23937,1.33669,1.19071,0.0409679,0.437,0.213614,0.329142,0.161563,0.0594984,0.525503,Left,106.0,53.0,151.557,82.0094,16.5943,0.0187575,0.0239307,0.440465,0.0283843,0.519754,0.547405,0.505928,0.0260046,0.0889585,0.0461899,0.0662053,0.0316609,0.0125384,0.343948,60.0,30.0,140.133,39.5167,34.5667,0.0137933,0.0175974,0.647123,0.0269456,0.422952,0.441714,0.413571,0.0466003,0.0523617,0.0271962,0.0403372,0.0197106,0.00799996,0.433824
40-41.sub-CC00586XX18.ses-179000.R77,115.0,72.1005,26.4432,2.72662,16.7151,4.31349,1053.62,0.0,1053.62,10568.8,25.4752,44.5,10.817,23.75,12.9153,22.0645,20.75,12.5599,23.8838,0.087061,0.105888,0.839417,0.127905,1.13144,1.27555,1.05938,0.0485662,0.449244,0.230675,0.335153,0.157429,0.0535684,0.525503,Left,95.0,47.5,158.242,69.1053,21.9684,0.0107449,0.0130685,0.640815,0.0493859,0.243417,0.259261,0.235495,0.0937588,0.0248167,0.0183566,0.0180091,0.00588291,0.0019272,0.343948,83.0,41.5,139.506,26.759,34.4819,0.0108714,0.0132223,0.672136,0.0277716,0.402158,0.416998,0.394738,0.104634,0.0287063,0.0176428,0.0213893,0.00890435,0.00297084,0.433824
40-41.sub-CC00593XX17.ses-189401.R70,277.0,87.958,33.7811,2.60376,29.8831,2.9434,598.5,251.25,347.25,3855.25,11.0909,31.75,4.73999,23.5,6.9006,6.36583,8.25,4.1903,6.68631,0.0838853,0.099015,0.933445,0.0981297,1.26685,1.38863,1.20595,0.0424103,0.451722,0.219313,0.344931,0.170929,0.0627653,0.525503,Left,94.0,47.0,170.447,69.5532,15.7766,0.0103532,0.0122205,0.444474,0.0114677,0.569673,0.583482,0.562769,0.0144955,0.0740742,0.0341138,0.0564386,0.029309,0.0121366,0.343948,33.0,16.5,132.424,16.7273,34.9091,0.00690247,0.00814741,0.46632,0.00521597,0.584024,0.588886,0.581593,0.0279756,0.0496651,0.0212407,0.0393945,0.0219821,0.0101854,0.433824
